Suggested,Sugjeruar
LAYERS,SHTRESAT
Responsivity,Përgjegjshmëri
The changes you made will be lost!,Ndryshimet që keni bërë do të humbasin!
Are you sure you want to continue?,Jeni i sigurt që dëshironi të vazhdoni?
Are you sure you want to export,Jeni të sigurt që dëshironi të eksportoni
Are you sure you want to delete,Jeni të sigurt që dëshironi të fshini
Delete Custom Category,Fshi kategorinë e personalizuar
Delete Custom Item,Fshi artikullin e personalizuar
Delete All Sliders and Folders included in,Fshini të gjithë rrëshqitësit dhe dosjet e përfshira në
Leave without Save,Lini pa Save
Updating the Plugin may take a few moments.,Përditësimi i shtesës mund të zgjasë disa momente.
Downloading the Zip File may take a few moments.,Shkarkimi i skedarit Zip mund të zgjasë disa çaste.
Export Slider,Eksporto rrëshqitësin
"Yes, Export Slider","Po, Eksporto rrëshqitësin"
"Yes, Delete Slider","Po, Fshi rrëshqitësin"
"Yes, Delete","Po, Fshije"
"Yes, Delete Slide","Po, Fshi rrëshqitjen"
"Yes, Delete All Slider(s)","Po, Fshi të gjithë rrëshqitësit"
Stay in Edior,Qëndroni në Editor
Redirecting to Overview Page,Ridrejtimi në faqen e përmbledhjes
Leaving current Page,Largimi nga faqja aktuale
as HTML Document,si dokument HTML
Preparing Slide...,Po përgatit rrëshqitjen...
Preparing Fields...,Përgatitja e fushave...
Preparing Data...,Po përgatit të dhënat...
Loading Content...,Po ngarkon përmbajtjen...
Copy,Kopjo
Paste,Ngjit
This will delete the selected item. Items already embedded in modules will remain there.,Kjo do të fshijë artikullin e zgjedhur. Artikujt e integruar tashmë në module do të mbeten atje.
"This will delete the Category and move the elements in the default ""All"" category.","Kjo do të fshijë kategorinë dhe do të zhvendosë elementët në kategorinë e paracaktuar ""Të gjitha""."
WAIT,PRIT
1st Frame,Korniza e 1-rë
Last Frame,Korniza e fundit
on Action,mbi Veprimin
This action can not be undone !!,Ky veprim nuk mund të zhbëhet !!
Delete Slider,Fshi rrëshqitësin
Delete Slide,Fshi rrëshqitjen
This can be Undone only within the Current session.,Kjo mund të zhbëhet vetëm brenda sesionit aktual.
Are you sure you want to delete the selected Slide:,Jeni të sigurt që dëshironi të fshini rrëshqitjen e zgjedhur:
Add-Ons,Shtesa
Deleting Slide,Fshirja e rrëshqitjes
Last Slide in Module. Can not be deleted,Rrëshqitja e fundit në modul. Nuk mund të fshihet
Deleting Slider,Fshirja e rrëshqitësit
Template & Object Library,Biblioteka e shablloneve dhe objekteve
Instant Updates,Përditësimet e menjëhershme
1on1 Support,Mbështetje 1 në 1
Parallax is now generally Enabled,Parallax tani është aktivizuar përgjithësisht
External Media can not be used for WEBGL Transitions due CORS Policy issues,Media e jashtme nuk mund të përdoret për tranzicionet WEBGL për shkak të çështjeve të politikës CORS
Slider Revolution has successfully re-requested image to rectify above CORS error.,Slider Revolution ka rikërkuar me sukses imazhin për të korrigjuar gabimin e mësipërm CORS.
Scroll Based Timeline is now generally Enabled,Kronologjia e bazuar në lëvizje tani është aktivizuar përgjithësisht
Filter Effect Scroll is now generally Enabled,Lëvizja e efektit të filtrit tani është aktivizuar përgjithësisht
Slide has no Layers,Slide nuk ka shtresa
Changes that you made may not be saved.,Ndryshimet që keni bërë mund të mos ruhen.
Add Slider as Modal,Shto rrëshqitësin si modal
Register to unlock all Premium Features,Regjistrohuni për të zhbllokuar të gjitha veçoritë Premium
All Premium Features unlocked,Të gjitha veçoritë Premium janë shkyçur
Please try again later,Ju lutemi provoni sërish më vonë
Quick Content Editor,Redaktues i shpejtë i përmbajtjes
Module,Moduli
Quick Style Editor,Redaktues i stilit të shpejtë
All,Të gjitha
Register Slider Revolution<br>to Unlock Premium Features,Regjistrohu Slider Revolution<br>për të zhbllokuar veçoritë Premium
Members Area,Zona e Anëtarëve
1 License Key per Website!,1 çelës licence për faqe interneti!
1 Purchase Code per Website!,1 kod blerjeje për faqe interneti!
"If you want to use your license key on another domain, please<br> deregister it in the members area or use a different key.","Nëse dëshironi të përdorni çelësin tuaj të licencës në një domen tjetër, ju lutemi<br> çregjistrojeni atë në zonën e anëtarëve ose përdorni një çelës tjetër."
"If you want to use your purchase code on<br>another domain, please deregister it first or","Nëse dëshironi të përdorni kodin tuaj të blerjes në<br>një domen tjetër, ju lutemi çregjistrojeni fillimisht ose"
Registered License Key,Çelësi i licencës së regjistruar
Registered Purchase Code,Kodi i blerjes së regjistruar
Register License Key,Regjistrohu çelësi i licencës
Register Purchase Code,Regjistro kodin e blerjes
Register this Code,Regjistroni këtë Kod
Register this License Key,Regjistroni këtë çelës licence
Deregister this Code,Çregjistroje këtë Kod
Deregister this License Key,Çregjistroni këtë çelës licence
Get a Purchase Code,Merrni një kod blerjeje
Get a License Key,Merrni një çelës licence
I have a Purchase Code,Unë kam një kod blerjeje
I have a License Key,Unë kam një çelës licence
Enter License Key,Fut çelësin e licencës
Enter Purchase Code,Futni kodin e blerjes
This Skin use,Ky përdorim i lëkurës
Delete Skin,Fshij lëkurën
References,Referencat
The References will keep their colors after deleting Skin.,Referencat do të ruajnë ngjyrat e tyre pas fshirjes së Skin.
Are you sure to delete Color Skin?,Jeni i sigurt për të fshirë Color Skin?
Custom File Import,Importi i personalizuar i skedarit
Import SVG Files,Importoni skedarë SVG
Custom SVG File,Skedari i personalizuar SVG
Import File,Importo skedarin
Custom File,Skedar i personalizuar
Upload Your 1st Item,Ngarkoni artikullin tuaj të parë
Full,Plot
Base,Baza
Fade,Zbehet
"Slide In, Slide Out","Rrëshqiteni brenda, rrëshqitni jashtë"
"Slide & Fade In, Slide Out","Rrëshqitje & Fade In, Rrëshqitje jashtë"
"Slide & Fade In, Slide & Fade Out","Rrëshqitni dhe zbehni, rrëshqitni dhe zbehni"
3D Effects,Efektet 3D
Slide,Rrëshqitje
Simple Slide,Rrëshqitje e thjeshtë
Masked Slide Out,Rrëshqitje e maskuar
Slide & Fade In Slide & Fade Out,Slide & Fade In Rrëshqitje & Fade Out
Parallax Slide,Paralaks Slide
Zoom,Zmadhoni
"Slide In, Zoom Out","Rrëshqiteni brenda, zmadhoni"
"Zoom In, Slide Out","Zmadhoni, rrëshqitni"
Special,E veçanta
Double Effect,Efekti i Dyfishtë
Filter,Filtro
Effects,Efektet
Paper Cuts,Prerje letre
Columns,Kolonat
Curtain,Perde
Rotation,Rrotullimi
Rows,Rreshtat
Circle,Rretho
Boxes,Kutitë
Random,E rastësishme
Dotted Small,E vogël me pika
Dotted Medium,Mesatare me pika
Dotted Large,E madhe me pika
Horizontal Small,Horizontal i vogël
Horizontal Medium,Medium horizontal
Horizontal Large,Horizontale e madhe
Vertical Small,Vertikale e vogël
Vertical Medium,Medium vertikal
Vertical Large,Vertikale e madhe
Circles Small,Rrathë të vegjël
Circles Medium,Rrethet e mesme
Diagonal 1,Diagonalja 1
Diagonal 2,Diagonalja 2
Diagonal 3,Diagonale 3
Diagonal 4,Diagonale 4
Cross,kryq
Docs,Dokumentet
Tutorial,Tutorial
Help Directory,Drejtoria e Ndihmës
Support Center,Qendra e Mbështetjes
Search for an Option,Kërkoni për një opsion
Tutorials,Tutoriale
Slider,Rrëshqitës
Navigation,Navigimi
Layer,Avokat
Settings,Cilësimet
Help Mode,Modaliteti i ndihmës
Hover your mouse over any option to learn more.,Zhvendosni miun mbi çdo opsion për të mësuar më shumë.
Documentation,Dokumentacioni
Show Option,Shfaq opsionin
Option,Opsioni
Options,Opsione
FAQs,Pyetjet e shpeshta
"Search Keywords, e.g. ""Background""","Kërko fjalë kyçe, p.sh. ""Sfondi"""
Hover over any option to learn more,Lëviz mbi çdo opsion për të mësuar më shumë
Select a Search Result,Zgjidhni një rezultat kërkimi
Activate Responsive Viewports,Aktivizo portat e shikimit të përgjegjshëm
Enable multiple stage sizes for custom set responsive content,Aktivizo madhësitë e shumëfishta të skenës për përmbajtjen e përgjegjshme të grupeve të personalizuara
Responsive Grid Sizes,Madhësitë e rrjetit të përgjegjshëm
Define custom grid widths and heights per device/viewport,Përcaktoni gjerësitë dhe lartësitë e rrjetit të personalizuar për pajisje/port
Content Size/Position,Madhësia/Pozicioni i përmbajtjes
Modify font size and layer position per device,Ndryshoni madhësinë e shkronjave dhe pozicionin e shtresës për pajisje
Layers Responsive Behavior,Sjellja e përgjegjshme e shtresave
Responsive alignment and positioning,Rreshtimi dhe pozicionimi i përgjegjshëm
Layers Mobile Visibility,Shikueshmëria e shtresave në celular
"Disable slider on mobile, hide layer content below screen size","Çaktivizo rrëshqitësin në celular, fshih përmbajtjen e shtresës nën madhësinë e ekranit"
Responsive Text/Images,Tekst/Imazhe të përgjegjshme
Adjust the size of text and images for each reponsive viewport,Rregulloni madhësinë e tekstit dhe imazheve për çdo pamje reaguese
Add New Slide,Shto rrëshqitje të re
add/duplicate/delete Slides,shtoni/kopjoni/fshini rrëshqitjet
Change Slide Order,Ndryshimi i renditjes së rrëshqitjes
Change the order in which the Slides appear,Ndryshoni rendin në të cilin shfaqen Slides
Set/Change Slide Background,Cakto/Ndrysho sfondin e rrëshqitjes
"Set the Slide's Main background to a color, image or video","Cakto sfondin kryesor të rrëshqitjes në një ngjyrë, imazh ose video"
Set/Change Module Background,Cakto/Ndrysho sfondin e modulit
"Set the Module's Main background to a color, image or video","Vendosni sfondin kryesor të modulit në një ngjyrë, imazh ose video"
Set/Change Layer Background,Vendos/Ndrysho sfondin e shtresës
"Set a Layer's Main background to a color, image or video","Vendosni sfondin kryesor të një shtrese në një ngjyrë, imazh ose video"
Edit Content Layers,Redaktoni shtresat e përmbajtjes
"Edit text, images, videos, styles, position and size for your content","Redaktoni tekstin, imazhet, videot, stilet, pozicionin dhe madhësinë për përmbajtjen tuaj"
Add New Layer,Shtoni një shtresë të re
Add a variety of content to your Slides,Shtoni një shumëllojshmëri të përmbajtjes në Slides tuaj
Add/Edit content that's meant to always be visible,Shto/Ndrysho përmbajtjen që synohet të jetë gjithmonë e dukshme
Slide Animations,Animacionet e rrëshqitjes
"60+ pre-built animations, animation duration, easing","Mbi 60 animacione të para-ndërtuara, kohëzgjatja e animacionit, lehtësim"
Layer Animations,Animacionet e shtresave
Start/End animation timing and easing,Koha dhe lehtësimi i fillimit/mbarimit të animacionit
Enable/Disable Navigation,Aktivizo/Çaktivizo navigimin
Learn how to add/remove navigation elements to control the Slider,Mësoni se si të shtoni/heqni elementë navigimi për të kontrolluar rrëshqitësin
Add/Remove Links,Shto/Hiq lidhjet
"Add/Remove links to additional slides, other web pages/posts or external websites","Shtoni/Hiqni lidhje për rrëshqitje shtesë, faqe/postime të tjera në internet ose faqe interneti të jashtme"
Active/Enable Addons,Aktivizo/Aktivizo Shtesat
Learn how to activate an AddOn for the Slider,Mësoni se si të aktivizoni një AddOn për rrëshqitësin
How To Use,Si të përdorni
"AddOn Settings will be located in the Slider, Slide or Layer settings depending on the AddOns functionality","Cilësimet e AddOn do të vendosen në cilësimet e Slider, Slide ose Layer në varësi të funksionalitetit AddOns"
Slider Title,Titulli i rrëshqitësit
Set the title of the Slider for admin/editing purposes,Vendosni titullin e rrëshqitësit për qëllime administrimi/redaktimi
Slider Alias,Alias rrëshqitës
The slider's alias is used to define a unique shortcode,Pseudonimi i rrëshqitësit përdoret për të përcaktuar një kod të shkurtër unik
Slider Shortcode,Kodi i shkurtër rrëshqitës
Place the shortcode on the page or post where you want to show this module,Vendosni kodin e shkurtër në faqen ose postimin ku dëshironi të shfaqni këtë modul
Standard Slider,Rrëshqitësi standard
A Slider that can have multiple slides with navigation,Një rrëshqitës që mund të ketë rrëshqitje të shumta me navigim
Hero Scene,Skena e heroit
A single-slide Slider with no navigation,Një rrëshqitës me një rrëshqitje pa navigim
Carousel,Karuseli
Display the Slider as a traditional Carousel,Shfaqni rrëshqitësin si një karusel tradicional
Auto,Auto
Size will adapt to the same size as the web page's content,Madhësia do të përshtatet me të njëjtën madhësi si përmbajtja e faqes së internetit
Full Width,Gjerësia e plotë
Display the Slider 100%width across the page,Shfaqni rrëshqitësin 100%të gjerësinë në të gjithë faqen
Full Screen,Ekran i plotë
Display the Slider at 100%width and height,Shfaqni rrëshqitësin në 100%gjerësi dhe lartësi
Max Width,Gjerësia maksimale
Optional maximum width for the Slider,Gjerësia maksimale opsionale për rrëshqitësin
Min Height,Lartësia Min
Optional minimum height for the Slider,Lartësia minimale opsionale për rrëshqitësin
Max Height,Lartësia maksimale
Optional maximum height for the Slider,Lartësia maksimale opsionale për rrëshqitësin
Keep Breakpoint Heights,Mbani lartësitë e pikës së thyerjes
If enabled the Slider's height will always equal the viewport's breakpoint height,"Nëse aktivizohet, lartësia e rrëshqitësit do të jetë gjithmonë e barabartë me lartësinë e pikës së ndarjes së portit të shikimit"
Respect Aspect Ratio,Raporti i aspektit të respektit
Activates a responsive height for the Slider,Aktivizon një lartësi të përgjegjshme për rrëshqitësin
Grid = Module,Rrjeti = Modul
"The default align behavior for Layers. If enabled, Layers will be aligned to the entire Module and if disabled Layers will align to the device breakpoint grid area.","Sjellja e parazgjedhur e rreshtimit për shtresat. Nëse aktivizohet, shtresat do të rreshtohen me të gjithë modulin dhe nëse janë të çaktivizuara, Shtresat do të rreshtohen me zonën e rrjetit të pikës së ndërprerjes së pajisjes."
Force Overflow,Përmbysja e forcës
Allow for content to be visible outside the Slider's bounding box,Lejo që përmbajtja të jetë e dukshme jashtë kutisë së kufirit të rrëshqitësit
Fixed on Top,Fiks në krye
The module will be positioned at the top of the screen at all times. Useful for creating sticky menus.,Moduli do të pozicionohet në krye të ekranit gjatë gjithë kohës. I dobishëm për krijimin e menuve ngjitëse.
Global 3D Perspective,Perspektiva globale 3D
Defines the Perspective by the 3D rendering of layers. This can be set globally (3D Uniset) for better and easier handling or individuel (3D Individual) on each single layer frames. We recommend to do this globally. The Special option Isometric will set the perspective to 0 automatically,Përcakton perspektivën me paraqitjen 3D të shtresave. Kjo mund të vendoset globalisht (3D Uniset) për trajtim më të mirë dhe më të lehtë ose individual (3D Individual) në çdo kornizë të shtresës së vetme. Ne ju rekomandojmë ta bëni këtë globalisht. Opsioni Special Isometric do ta vendosë automatikisht perspektivën në 0
